Тип,Уровень,Направление,Ключевое слово
Профессия,Линейный специалист,Analytics,"""Marketing Analyst"" OR ""Маркетинговый аналитик"""
Профессия,Линейный специалист,Data Engineering,"""Инженер баз данных"" OR ""DWH Engineer"" OR ""Инженер данных"" OR ""Data Engineer"""
Навык,,Analytics,"""Python"" AND ""data"" AND ""анализ"""
Навык,,BI,"""Tableau"""
Навык,,Data Engineering,"""Etl"""
Навык,,BI,"""Power BI"""
Навык,,BI,"""d3.js"""
Навык,,BI,"""Qlik"" OR ""Qlikview"" OR ""Qliksense"""
Навык,,BI,"""Redash"""
Навык,,BI,"""Дашборд"""
Навык,,BI,"""Metabase"""
Навык,,Analytics,"""NumPy"""
Навык,,Analytics,"""Pandas"""
Навык,,BI,"""Cognos"""
Навык,,BI,"""Superset"""
Навык,,Analytics,"""Matplotlib"""
Навык,,Analytics,"""Plotly"""
Навык,,Data Engineering,"""Airflow"""
Навык,,Data Engineering,"""Spark"""
Навык,,Data Engineering,"""Luigi"""
Навык,,BI,"""Визуализация данных"" OR ""Data visualization"""
Профессия,Директор,Data science / Machine Learning,"""Data Science Director"" OR ""Директор по большим данным"" OR ""Директор по машинному обучению"" OR ""Директор продвинутой аналитики"" OR ""Директор предиктивной аналитики"" OR ""Chief Data Officer"""
Профессия,Директор,BI,"""Chief Business Intelligence Officer"" OR ""Директор по визуализации"" OR ""Директор по аналитической отчетности"""
Профессия,Руководитель,Analytics,"""Руководитель отдела аналитики"" OR ""Head of analytics"" OR ""Head of BI"""
Профессия,Руководитель,Data science / Machine Learning,"""Руководитель data science"""
Профессия,Руководитель,Data science / Machine Learning,"""Руководитель направления предиктивной аналитики"""
Профессия,Линейный специалист,Analytics,"""Аналитик BI"" OR ""BI Analyst"""
Профессия,Линейный специалист,Analytics,"""Аналитик баз данных"""
Профессия,Линейный специалист,BI,"""Разработчик BI"" OR ""BI Developer"""
Профессия,Линейный специалист,Analytics,"""Бизнес аналитик"" OR ""Business Analyst"""
Профессия,Линейный специалист,Analytics,"""Продуктовый аналитик"" OR ""Product Analyst"""
Профессия,Линейный специалист,Data science / Machine Learning,"""Data scientist"" OR ""Machine Learning specialist"""
Профессия,Линейный специалист,Analytics,"""Аналитик данных"" OR ""Data analyst"""
Профессия,Линейный специалист,Analytics,"""Junior Data Analyst"""
