,country,index,cost
0,Australia,-11.9,4.986459999999999
1,Canada,-6.6,5.28644
2,Germany,-8.8,5.16192
3,India,-54.3,2.5866200000000004
4,Ireland,-8.8,5.16192
5,Japan,-33.9,3.7412599999999996
6,Malaysia,-56.4,2.46776
7,Netherlands,-8.8,5.16192
8,Peru,-41.9,3.28846
9,Singapore,-21.7,4.43178
10,United Kingdom,-21.6,4.4374400000000005
11,United States,1.0,5.7166
12,Belgium,-8.8,5.16192
13,Brazil,-29.7,3.9789799999999995
14,Czech Republic,-27.2,4.12048
15,France,-8.8,5.16192
16,Hong Kong,-53.3,2.64322
17,Italy,-8.8,5.16192
18,Mexico,-52.6,2.68284
19,Philippines,-47.8,2.95452
20,Poland,-37.9,3.51486
21,Romania,-56.4,2.46776
22,South Africa,-61.9,2.15646
23,Spain,-8.8,5.16192
24,Thailand,-24.9,4.25066
25,Pakistan,-39.4,3.4299600000000003
26,Vietnam,-49.4,2.86396
27,Colombia,-33.9,3.7412599999999996
28,Indonesia,-57.5,2.4055
29,Saudi Arabia,-34.1,3.7299400000000005
30,Switzerland,28.8,7.290080000000001
31,Taiwan,-54.4,2.58096
32,United Arab Emirates,-27.9,4.0808599999999995
33,Chile,-27.8,4.08652
34,Luxembourg,-8.8,5.16192
35,New Zealand,-13.9,4.873259999999999
36,Sweden,12.6,6.37316
37,Russia,-68.0,1.8112000000000001
